4616132740,ღვედი 22-5000,სხვა,20,42,840,22-5000,0,ჩვეულებრივი,1
4616132741,ღვედი 22-1900,სხვა,10,18,180,22-1900,0,ჩვეულებრივი,1
4616132742,ღვედი 22-2360,სხვა,10,22,220,22-2360,0,ჩვეულებრივი,1
4616132743,ღვედი 17-2600,სხვა,10,15.5,155,17-2600,0,ჩვეულებრივი,1
4616132744,ღვედი 17-1075 (კბილიანი),სხვა,10,11,110,17-1075 (კ),0,ჩვეულებრივი,1
4616132745,ღვედი 17-1025 (კბილიანი),სხვა,10,9.5,95,17-1025 (კ),0,ჩვეულებრივი,1
4992058492,ღვედი 22-3350,სხვა,40,28,280,22-3350,0,ჩვეულებრივი,1
4992058489,ღვედი 22-3550,სხვა,40,32,320,22-3550,0,ჩვეულებრივი,1
4992058494,ღვედი 17-2200,სხვა,40,13,130,17-2200,0,ჩვეულებრივი,1
4992058497,ღვედი 17-2400,სხვა,40,14,140,17-2400,0,ჩვეულებრივი,1
